,entry_date,entry_value,exit_date,exit_value,percentual_return
0,2021-11-23 20:00:00,3.973360249265202,2021-11-23 21:00:00,3.9693868890159365,-0.0019995000000000273
1,2021-11-26 13:00:00,4.466001603037762,2021-11-26 13:30:00,4.733961699220028,0.058970000000000085
2,2021-11-29 17:00:00,4.873557691932177,2021-11-29 17:30:00,5.165971153448108,0.058970000000000085
3,2021-11-30 05:30:00,4.602299628657041,2021-11-30 06:00:00,4.878437606376464,0.05897000000000013
4,2021-11-30 07:00:00,4.612239963977878,2021-11-30 07:30:00,4.88897436181655,0.05896999999999996
5,2021-11-30 10:30:00,4.666272513051369,2021-11-30 11:00:00,4.946248863834451,0.05897
6,2021-11-30 19:30:00,4.589437272324978,2021-11-30 20:00:00,4.584847835052653,-0.001999500000000047
7,2021-11-30 20:30:00,4.57586734777977,2021-11-30 21:00:00,4.850419388646556,0.05897000000000002
8,2021-12-01 06:00:00,4.517114580960861,2021-12-01 07:30:00,4.5125974663799004,-0.0019994999999999427
9,2021-12-02 06:30:00,4.293469912146168,2021-12-02 07:00:00,4.289176442234022,-0.0019995000000000043
