,entry_date,entry_value,exit_date,exit_value,percentual_return
0,2021-11-26 13:00:00,3994.662235319535,2021-11-27 23:30:00,3990.6675730842153,-0.001999500000000001
1,2021-11-28 06:30:00,4033.343937630725,2021-11-28 14:30:00,4029.3105936930942,-0.0019995000000000403
2,2021-12-01 22:00:00,4540.653209348748,2021-12-01 22:30:00,4813.092401909673,0.05897000000000008
3,2021-12-02 03:30:00,4474.791559126617,2021-12-02 04:00:00,4743.279052674215,0.05897000000000006
4,2021-12-02 06:30:00,4519.53918341571,2021-12-02 07:00:00,4790.711534420653,0.058970000000000154
5,2021-12-02 12:30:00,4479.186297107007,2021-12-02 13:00:00,4747.937474933427,0.05897000000000006
6,2021-12-03 22:30:00,4102.9973360190725,2021-12-03 23:00:00,4349.177176180217,0.05897000000000015
7,2021-12-03 23:30:00,4105.0939236668455,2021-12-04 00:00:00,4100.988829743179,-0.001999499999999933
8,2021-12-04 07:30:00,3815.3386042577113,2021-12-04 08:00:00,3811.5232656534536,-0.0019994999999999982
9,2021-12-04 08:30:00,3791.212734811992,2021-12-04 09:00:00,3787.4215220771803,-0.001999499999999944
10,2021-12-04 08:30:00,3791.212734811992,2021-12-04 09:00:00,3787.4215220771803,-0.001999499999999944
11,2021-12-04 08:30:00,3791.212734811992,2021-12-04 09:00:00,3787.4215220771803,-0.001999499999999944
12,2021-12-04 08:30:00,3791.212734811992,2021-12-04 09:00:00,3787.4215220771803,-0.001999499999999944
13,2021-12-04 08:30:00,3791.212734811992,2021-12-04 09:00:00,3787.4215220771803,-0.001999499999999944
14,2021-12-04 08:30:00,3791.212734811992,2021-12-04 09:00:00,3787.4215220771803,-0.001999499999999944
